from.level,to.level,layer,from,to,x,y,xend,yend
1,1,l1FP_l2VPM,Provide efficient and accessible mobility,Increased road user safety,-0.04361938736533613,-0.9990482215818578,0.8191520442889916,-0.5735764363510465
1,1,l1FP_l2VPM,Provide efficient and accessible mobility,Road user satisfaction,-0.04361938736533613,-0.9990482215818578,-0.8660254037844386,-0.5000000000000001
1,2,l2VPM_l3GF,Increased road user safety,Compliant user behaviour,0.8191520442889916,-0.5735764363510465,-1.8126155740733,-0.8452365234813985
1,2,l2VPM_l3GF,Increased road user safety,Effective occupant protection,0.8191520442889916,-0.5735764363510465,1.7320508075688767,-1.0000000000000009
1,2,l2VPM_l3GF,Increased road user safety,Safe efficient traffic flow,0.8191520442889916,-0.5735764363510465,-0.08723877473067404,-1.9980964431637154
1,2,l2VPM_l3GF,Road user satisfaction,Compliant user behaviour,-0.8660254037844386,-0.5000000000000001,-1.8126155740733,-0.8452365234813985
1,2,l2VPM_l3GF,Road user satisfaction,Effective occupant protection,-0.8660254037844386,-0.5000000000000001,1.7320508075688767,-1.0000000000000009
1,2,l2VPM_l3GF,Road user satisfaction,Safe efficient traffic flow,-0.8660254037844386,-0.5000000000000001,-0.08723877473067404,-1.9980964431637154
2,3,l3GF_l4ORP,Compliant user behaviour,Driver capabilities and limitations,-1.8126155740733,-0.8452365234813985,2.7189233611099493,-1.2678547852221
2,3,l3GF_l4ORP,Compliant user behaviour,Road Transportation System capabilities and limitations,-1.8126155740733,-0.8452365234813985,-2.8190778623577253,-1.026060429977006
2,4,l3GF_l4ORP,Compliant user behaviour,Vehicle capacity,-1.8126155740733,-0.8452365234813985,-8.2660928883010465e-016,-4.5
2,3,l3GF_l4ORP,Effective occupant protection,Driver capabilities and limitations,1.7320508075688767,-1.0000000000000009,2.7189233611099493,-1.2678547852221
2,3,l3GF_l4ORP,Effective occupant protection,Road Transportation System capabilities and limitations,1.7320508075688767,-1.0000000000000009,-2.8190778623577253,-1.026060429977006
2,4,l3GF_l4ORP,Effective occupant protection,Vehicle capacity,1.7320508075688767,-1.0000000000000009,-8.2660928883010465e-016,-4.5
2,3,l3GF_l4ORP,Safe efficient traffic flow,Driver capabilities and limitations,-0.08723877473067404,-1.9980964431637154,2.7189233611099493,-1.2678547852221
2,3,l3GF_l4ORP,Safe efficient traffic flow,Road Transportation System capabilities and limitations,-0.08723877473067404,-1.9980964431637154,-2.8190778623577253,-1.026060429977006
2,4,l3GF_l4ORP,Safe efficient traffic flow,Vehicle capacity,-0.08723877473067404,-1.9980964431637154,-8.2660928883010465e-016,-4.5
3,5,l4ORP_l5PO,Driver capabilities and limitations,Vehicle components,2.7189233611099493,-1.2678547852221,-1.1021457184401395e-15,-6
3,5,l4ORP_l5PO,Road Transportation System capabilities and limitations,Vehicle components,-2.8190778623577253,-1.026060429977006,-1.1021457184401395e-15,-6
4,5,l4ORP_l5PO,Vehicle capacity,Vehicle components,-8.2660928883010465e-016,-4.5,-1.1021457184401395e-15,-6
